year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp,expm,vs,exppv,smd,party_jpn
1996,aichi,1,現職,"KAWAMURA, TAKASHI",NFP,8,2,当選,40,47,7,1,66876,346774,49.2,9828097,9.828097,0.4,28.341504841770146,当選,新進党
1996,aichi,1,元職,"IMAEDA, NORIO",LDP,1,3,落選,25.7,72,7,2,42969,346774,49.2,9311555,9.311555,0.257,26.851941033641506,落選,自民党
1996,aichi,1,現職,"SATO, TAISUKE",DPJ,3,2,落選,20.1,53,7,3,33503,346774,49.2,9231284,9.231284,0.201,26.620461741653067,落選,民主党
1996,aichi,1,新人,"IWANAKA, MIHOKO",JCP,2,0,落選,13.3,43,7,4,22209,346774,49.2,2177203,2.177203,0.133,6.278449364715924,落選,共産党
1996,aichi,1,新人,"ITO, MASAKO",others,100,0,落選,0.4,51,7,5,616,346774,49.2,NA,NA,0.004,NA,落選,その他
1996,aichi,1,新人,"YAMADA, HIROSHIB",kokuminto,22,0,落選,0.3,51,7,6,566,346774,49.2,NA,NA,0.003,NA,落選,国民党
1996,aichi,1,新人,"ASANO, KOSETSU",independent,99,0,落選,0.2,45,7,7,312,346774,49.2,NA,NA,0.002,NA,落選,無所属
1996,aichi,2,現職,"AOKI, HIROYUKI",NFP,8,1,当選,32.9,51,8,1,56101,338310,51.8,12940178,12.940178,0.32899999999999996,38.24946942153646,当選,新進党
1996,aichi,2,元職,"TANABE, HIROO",LDP,1,1,落選,26.4,71,8,2,44938,338310,51.8,16512426,16.512426,0.264,48.80856610800745,落選,自民党
1996,aichi,2,新人,"FURUKAWA, MOTOHISA",DPJ,3,0,復活当選,25.7,30,8,3,43804,338310,51.8,11435567,11.435567,0.257,33.80203659365671,落選,民主党
1996,aichi,2,新人,"ISHIYAMA, JUNICHI",JCP,2,0,落選,12.5,31,8,4,21337,338310,51.8,2128510,2.12851,0.125,6.291596464780822,落選,共産党
1996,aichi,2,新人,"FUJIWARA, MICHIKO",jiyu-rengo,10,0,落選,1.6,44,8,5,2670,338310,51.8,3270533,3.270533,0.016,9.667266708048832,落選,自由連合
1996,aichi,2,新人,"ISHIKAWA, KAZUMI",others,100,0,落選,0.4,61,8,6,701,338310,51.8,NA,NA,0.004,NA,落選,その他
1996,aichi,2,新人,"MURAMATSU, YOICHI",independent,99,0,落選,0.2,47,8,7,418,338310,51.8,NA,NA,0.002,NA,落選,無所属
1996,aichi,2,新人,"YAMAZAKI, YOSHIAKI",kokuminto,22,0,落選,0.2,43,8,8,348,338310,51.8,NA,NA,0.002,NA,落選,国民党
1996,aichi,3,新人,"YOSHIDA, YUKIHIRO",NFP,8,1,当選,32.3,35,7,1,52478,331808,50.4,11245219,11.245219,0.32299999999999995,33.89074103095766,当選,新進党
1996,aichi,3,現職,"KATAOKA, TAKESHI",LDP,1,3,落選,27,46,7,2,43884,331808,50.4,5365436,5.365436,0.27,16.17030330793712,落選,自民党
1996,aichi,3,新人,"KONDO, SHOICHIA",DPJ,3,1,復活当選,23.6,38,7,3,38351,331808,50.4,11767342,11.767342,0.23600000000000002,35.464310685697754,落選,民主党
1996,aichi,3,新人,"YANAGIDA, SAEKO",JCP,2,0,落選,16.1,50,7,4,26225,331808,50.4,2110540,2.11054,0.161,6.360726685311987,落選,共産党
1996,aichi,3,新人,"NAKANO, YOKO",kokuminto,22,0,落選,0.5,54,7,5,773,331808,50.4,NA,NA,0.005,NA,落選,国民党
1996,aichi,3,新人,"OGAWA, OSAMU",others,100,0,落選,0.4,35,7,6,722,331808,50.4,NA,NA,0.004,NA,落選,その他
1996,aichi,3,新人,"ITO, TADAHIKO",independent,99,0,落選,0.2,43,7,7,246,331808,50.4,NA,NA,0.002,NA,落選,無所属
1996,aichi,4,新人,"MISAWA, JUN",NFP,8,1,当選,35.7,44,6,1,57361,315704,52,12134215,12.134215,0.35700000000000004,38.43541735296353,当選,新進党
1996,aichi,4,元職,"TSUKAMOTO, SABURO",LDP,1,10,落選,30,69,6,2,48209,315704,52,13303388,13.303388,0.3,42.13880090211084,落選,自民党
1996,aichi,4,新人,"SEKO, YUKIKO",JCP,2,1,復活当選,19.3,49,6,3,30976,315704,52,3152034,3.152034,0.193,9.98414337480678,落選,共産党
1996,aichi,4,新人,"TAKAGI, HIROSHI",DPJ,3,0,落選,14.6,43,6,4,23411,315704,52,6461034,6.461034,0.146,20.465480323340852,落選,民主党
1996,aichi,4,新人,"ITO, TAKAYOSHI",kokuminto,22,0,落選,0.2,61,6,5,348,315704,52,NA,NA,0.002,NA,落選,国民党
1996,aichi,4,新人,"SHIOKAWA, CHIKANAO",others,100,0,落選,0.2,40,6,6,243,315704,52,NA,NA,0.002,NA,落選,その他
1996,aichi,5,現職,"AKAMATSU, HIROTAKA",DPJ,3,2,当選,30.9,48,7,1,48648,319846,50.3,11894801,11.894801,0.309,37.18915040363175,当選,民主党
1996,aichi,5,新人,"KIMURA, TAKAHIDE",LDP,1,1,復活当選,29.5,41,7,2,46485,319846,50.3,5010946,5.010946,0.295,15.666745871450635,落選,自民党
1996,aichi,5,新人,"BANNO, YUTAKA",NFP,8,0,落選,27.3,35,7,3,43028,319846,50.3,9817826,9.817826,0.273,30.695478449003584,落選,新進党
1996,aichi,5,新人,"NAGATOMO, TADAHIRO",JCP,2,0,落選,11.2,37,7,4,17670,319846,50.3,2728093,2.728093,0.11199999999999999,8.529395396534582,落選,共産党
1996,aichi,5,新人,"SUZUKI, TSUTOMU",independent,99,0,落選,0.5,63,7,5,768,319846,50.3,70000,0.07,0.005,0.21885532412473502,落選,無所属
1996,aichi,5,新人,"ICHIKAWA, MINORU",kokuminto,22,0,落選,0.3,56,7,6,470,319846,50.3,NA,NA,0.003,NA,落選,国民党
1996,aichi,5,新人,"UCHIYAMA, TAKAO",others,100,0,落選,0.2,43,7,7,335,319846,50.3,NA,NA,0.002,NA,落選,その他
1996,aichi,6,現職,"KUSAKAWA, SHOZO",NFP,8,8,当選,39.7,68,8,1,90812,433930,54.2,11252336,11.252336,0.397,25.93122393012698,当選,新進党
1996,aichi,6,新人,"ITO, KATSUNDO",LDP,1,0,落選,26.1,51,8,2,59631,433930,54.2,10987232,10.987232,0.261,25.320286682183763,落選,自民党
1996,aichi,6,現職,"AMIOKA, YU",DPJ,3,3,落選,21.5,68,8,3,49074,433930,54.2,15156114,15.156114,0.215,34.927555135620956,落選,民主党
1996,aichi,6,新人,"WATANABE, MASUMI",JCP,2,0,落選,11.3,39,8,4,25815,433930,54.2,2227575,2.227575,0.113,5.133489272463301,落選,共産党
1996,aichi,6,新人,"HARADA, ISAMU",kokuminto,22,0,落選,0.5,46,8,5,1107,433930,54.2,NA,NA,0.005,NA,落選,国民党
1996,aichi,6,新人,"MUMATSU, YOKO",others,100,0,落選,0.4,52,8,6,966,433930,54.2,NA,NA,0.004,NA,落選,その他
1996,aichi,6,新人,"KASAHARA, KIMIO",independent,99,0,落選,0.3,63,8,7,776,433930,54.2,NA,NA,0.003,NA,落選,無所属
1996,aichi,6,新人,"MASUDA, SHINICHI",others,100,0,落選,0.2,73,8,8,450,433930,54.2,5540,0.00554,0.002,0.012767036157905653,落選,その他
1996,aichi,7,現職,"AOYAMA, TAKASHI",NFP,8,6,当選,47.5,55,7,1,91439,357984,55.5,13493050,13.49305,0.475,37.6917683471887,当選,新進党
1996,aichi,7,新人,"NIWA, TAICHI",LDP,1,0,落選,25.9,49,7,2,49727,357984,55.5,14030115,14.030115,0.259,39.192016961651916,落選,自民党
1996,aichi,7,新人,"ITO, KEIKOB",DPJ,3,0,落選,12.8,40,7,3,24620,357984,55.5,5904264,5.904264,0.128,16.493094663448645,落選,民主党
1996,aichi,7,新人,"HARADA, HIDETOSHI",JCP,2,0,落選,12,48,7,4,23009,357984,55.5,2198052,2.198052,0.12,6.1400844730490745,落選,共産党
1996,aichi,7,新人,"ICHIKAWA, TSUNEO",jiyu-rengo,10,0,落選,1.1,56,7,5,2045,357984,55.5,8806268,8.806268,0.011000000000000001,24.599613390542594,落選,自由連合
1996,aichi,7,新人,"OSHIMA, YOKO",kokuminto,22,0,落選,0.6,65,7,6,1080,357984,55.5,NA,NA,0.006,NA,落選,国民党
1996,aichi,7,新人,"EBATA, HIROMICHI",others,100,0,落選,0.2,34,7,7,442,357984,55.5,NA,NA,0.002,NA,落選,その他
1996,aichi,8,現職,"KUNO, TOICHIRO",LDP,1,3,当選,44.4,59,5,1,93053,377152,57.1,6368857,6.368857,0.444,16.886711458510096,当選,自民党
1996,aichi,8,新人,"MORITA, YUSUKE",NFP,8,0,落選,43,33,5,2,90099,377152,57.1,8644586,8.644586,0.43,22.920695104361105,落選,新進党
1996,aichi,8,新人,"KAJIURA, ISAMU",JCP,2,0,落選,11.1,48,5,3,23166,377152,57.1,2471701,2.471701,0.111,6.553593776514509,落選,共産党
1996,aichi,8,新人,"YAMAZAKI, KAZUKOA",others,100,0,落選,1.1,34,5,4,2259,377152,57.1,NA,NA,0.011000000000000001,NA,落選,その他
1996,aichi,8,新人,"SHIMODA, KENICHI",independent,99,0,落選,0.4,42,5,5,873,377152,57.1,NA,NA,0.004,NA,落選,無所属
1996,aichi,9,現職,"KAIFU, TOSHIKI",NFP,8,13,当選,47.7,65,7,1,111578,393953,60.6,19731389,19.731389,0.47700000000000004,50.08564219589646,当選,新進党
1996,aichi,9,新人,"YOSHIKAWA, HIROSHIC",LDP,1,0,落選,24.8,73,7,2,58059,393953,60.6,4711892,4.711892,0.248,11.960543516612388,落選,自民党
1996,aichi,9,現職,"SATO, KANJU",DPJ,3,9,落選,18.1,54,7,3,42393,393953,60.6,7992963,7.992963,0.18100000000000002,20.28912839856531,落選,民主党
1996,aichi,9,新人,"HIBI, SHIZUO",JCP,2,0,落選,8.7,63,7,4,20290,393953,60.6,2072270,2.07227,0.087,5.260196013230004,落選,共産党
1996,aichi,9,新人,"YASUDA, REIKO",others,100,0,落選,0.4,50,7,5,921,393953,60.6,NA,NA,0.004,NA,落選,その他
1996,aichi,9,新人,"OI, TADANORI",independent,99,0,落選,0.2,48,7,6,422,393953,60.6,NA,NA,0.002,NA,落選,無所属
1996,aichi,9,新人,"SHIRAI, SAKAE",kokuminto,22,0,落選,0.1,59,7,7,338,393953,60.6,NA,NA,0.001,NA,落選,国民党
1996,aichi,10,現職,"ESAKI, TETSUMA",NFP,8,1,当選,46.4,53,7,1,110820,437148,56,18863794,18.863794,0.46399999999999997,43.151962264496234,当選,新進党
1996,aichi,10,新人,"MORI, HARUO",LDP,1,0,落選,30.2,50,7,2,72178,437148,56,9513777,9.513777,0.302,21.76328611820253,落選,自民党
1996,aichi,10,新人,"KISHINO, TOMOKO",JCP,2,0,落選,12.2,46,7,3,29003,437148,56,2251163,2.251163,0.122,5.149658696825789,落選,共産党
1996,aichi,10,新人,"NAGANAWA, SACHIKO",DPJ,3,0,落選,8.6,48,7,4,20575,437148,56,5656242,5.656242,0.086,12.938963463174943,落選,民主党
1996,aichi,10,新人,"SHIMIZU, SENYA",independent,99,0,落選,2.1,26,7,5,5103,437148,56,4323761,4.323761,0.021,9.890840173122147,落選,無所属
1996,aichi,10,新人,"TAKAHASHI, SHINSUKE",kokuminto,22,0,落選,0.3,54,7,6,683,437148,56,NA,NA,0.003,NA,落選,国民党
1996,aichi,10,新人,"ATOJI, TOYOJI",independent,99,0,落選,0.1,46,7,7,284,437148,56,NA,NA,0.001,NA,落選,無所属
1996,aichi,11,現職,"ITO, EISEI",NFP,8,5,当選,55.5,54,3,1,123404,310462,73,14561501,14.561501,0.555,46.902683742293746,当選,新進党
1996,aichi,11,現職,"URANO, YASUOKI",LDP,1,6,落選,38.6,54,3,2,85766,310462,73,15945645,15.945645,0.386,51.36102002821601,落選,自民党
1996,aichi,11,新人,"OMURA, YOSHINORI",JCP,2,0,落選,6,40,3,3,13260,310462,73,1932893,1.932893,0.06,6.225860169682602,落選,共産党
1996,aichi,12,元職,"SUGIURA, SEIKEN",LDP,1,3,当選,55.2,62,3,1,133257,395441,63.6,15571849,15.571849,0.552,39.37843824995385,当選,自民党
1996,aichi,12,現職,"KAWASHIMA, MINORU",NFP,8,2,落選,33.1,60,3,2,79950,395441,63.6,5713734,5.713734,0.331,14.449017678996361,落選,新進党
1996,aichi,12,新人,"YAMADA, MASUMI",JCP,2,0,落選,11.7,36,3,3,28358,395441,63.6,2225778,2.225778,0.11699999999999999,5.628596933550138,落選,共産党
1996,aichi,13,新人,"SHIMA, SATOSHI",NFP,8,1,当選,46.8,38,3,1,87991,330753,58.7,8689828,8.689828,0.46799999999999997,26.2728622264953,当選,新進党
1996,aichi,13,新人,"OMURA, HIDEAKI",LDP,1,1,復活当選,42.9,36,3,2,80629,330753,58.7,9288155,9.288155,0.429,28.0818465743319,落選,自民党
1996,aichi,13,新人,"TAKABAYASHI, MAKOTO",JCP,2,0,落選,10.4,53,3,3,19484,330753,58.7,2056944,2.056944,0.10400000000000001,6.218973070539043,落選,共産党
1996,aichi,14,元職,"ASANO, KATSUHITO",LDP,1,2,当選,49.8,58,4,1,72661,254598,59.2,11907557,11.907557,0.498,46.77003354307575,当選,自民党
1996,aichi,14,新人,"YOSHITOMI, KAZUO",NFP,8,0,落選,30.5,39,4,2,44421,254598,59.2,7535268,7.535268,0.305,29.596728960950205,落選,新進党
1996,aichi,14,新人,"KURITANI, KENICHIRO",JCP,2,0,落選,10,47,4,3,14646,254598,59.2,2292923,2.292923,0.1,9.006052679125524,落選,共産党
1996,aichi,14,新人,"FUJIKAWA, CHIAKI",DPJ,3,0,落選,9.7,55,4,4,14149,254598,59.2,10863379,10.863379,0.09699999999999999,42.668752307559366,落選,民主党
1996,aichi,15,現職,"MURATA, KEIJIRO",LDP,1,10,当選,45.3,72,5,1,74963,315533,54.3,11227933,11.227933,0.45299999999999996,35.58402132265088,当選,自民党
1996,aichi,15,新人,"KIMATA, YOSHITAKE",NFP,8,0,落選,39,31,5,2,64486,315533,54.3,9416599,9.416599,0.39,29.843468036623744,落選,新進党
1996,aichi,15,新人,"TSUKADA, EIJI",JCP,2,0,落選,13.8,41,5,3,22851,315533,54.3,2616378,2.616378,0.138,8.291931430309983,落選,共産党
1996,aichi,15,新人,"MATSUMOTO, SHIGEKO",kokuminto,22,0,落選,1.1,51,5,4,1796,315533,54.3,NA,NA,0.011000000000000001,NA,落選,国民党
1996,aichi,15,新人,"MATSUSHITA, MASATOSHI",others,100,0,落選,0.8,51,5,5,1398,315533,54.3,NA,NA,0.008,NA,落選,その他
1996,akita,1,元職,"SATO, TAKAO",NFP,8,4,当選,45.5,61,3,1,95194,341268,62.8,13183630,13.18363,0.455,38.63131028986017,当選,新進党
1996,akita,1,現職,"FUTADA, KOJI",LDP,1,3,復活当選,40.4,58,3,2,84625,341268,62.8,16790148,16.790148,0.40399999999999997,49.1993037729878,落選,自民党
1996,akita,1,新人,"OGIWARA, KAZUKO",JCP,2,0,落選,14.1,55,3,3,29514,341268,62.8,3198173,3.198173,0.141,9.371441213357244,落選,共産党
1996,akita,2,現職,"NOROTA, HOSEI",LDP,1,5,当選,54.9,66,4,1,86677,236702,68.9,12138166,12.138166,0.5489999999999999,51.28036940963744,当選,自民党
