year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp,party
1996,aichi,1,1,"KAWAMURA, TAKASHI",,8,2,1,40.0,47,7,1,66876,346774,49.2,9828097,NFP
1996,aichi,1,2,"IMAEDA, NORIO",,1,3,0,25.7,72,7,2,42969,346774,49.2,9311555,LDP
1996,aichi,1,1,"SATO, TAISUKE",,3,2,0,20.1,53,7,3,33503,346774,49.2,9231284,DPJ
1996,aichi,1,0,"IWANAKA, MIHOKO",,2,0,0,13.3,43,7,4,22209,346774,49.2,2177203,JCP
1996,aichi,1,0,"ITO, MASAKO",,100,0,0,0.4,51,7,5,616,346774,49.2,.,others
1996,aichi,1,0,"YAMADA, HIROSHIB",,22,0,0,0.3,51,7,6,566,346774,49.2,.,kokuminto
1996,aichi,1,0,"ASANO, KOSETSU",,99,0,0,0.2,45,7,7,312,346774,49.2,.,independent
1996,aichi,2,1,"AOKI, HIROYUKI",,8,1,1,32.9,51,8,1,56101,338310,51.8,12940178,NFP
1996,aichi,2,2,"TANABE, HIROO",,1,1,0,26.4,71,8,2,44938,338310,51.8,16512426,LDP
1996,aichi,2,0,"FURUKAWA, MOTOHISA",,3,0,2,25.7,30,8,3,43804,338310,51.8,11435567,DPJ
1996,aichi,2,0,"ISHIYAMA, JUNICHI",,2,0,0,12.5,31,8,4,21337,338310,51.8,2128510,JCP
1996,aichi,2,0,"FUJIWARA, MICHIKO",,10,0,0,1.6,44,8,5,2670,338310,51.8,3270533,jiyu-rengo
1996,aichi,2,0,"ISHIKAWA, KAZUMI",,100,0,0,0.4,61,8,6,701,338310,51.8,.,others
1996,aichi,2,0,"MURAMATSU, YOICHI",,99,0,0,0.2,47,8,7,418,338310,51.8,.,independent
1996,aichi,2,0,"YAMAZAKI, YOSHIAKI",,22,0,0,0.2,43,8,8,348,338310,51.8,.,kokuminto
1996,aichi,3,0,"YOSHIDA, YUKIHIRO",,8,1,1,32.3,35,7,1,52478,331808,50.4,11245219,NFP
1996,aichi,3,1,"KATAOKA, TAKESHI",,1,3,0,27.0,46,7,2,43884,331808,50.4,5365436,LDP
1996,aichi,3,0,"KONDO, SHOICHIA",,3,1,2,23.6,38,7,3,38351,331808,50.4,11767342,DPJ
1996,aichi,3,0,"YANAGIDA, SAEKO",,2,0,0,16.1,50,7,4,26225,331808,50.4,2110540,JCP
1996,aichi,3,0,"NAKANO, YOKO",,22,0,0,0.5,54,7,5,773,331808,50.4,.,kokuminto
1996,aichi,3,0,"OGAWA, OSAMU",,100,0,0,0.4,35,7,6,722,331808,50.4,.,others
1996,aichi,3,0,"ITO, TADAHIKO",,99,0,0,0.2,43,7,7,246,331808,50.4,.,independent
1996,aichi,4,0,"MISAWA, JUN",,8,1,1,35.7,44,6,1,57361,315704,52.0,12134215,NFP
1996,aichi,4,2,"TSUKAMOTO, SABURO",,1,10,0,30.0,69,6,2,48209,315704,52.0,13303388,LDP
1996,aichi,4,0,"SEKO, YUKIKO",,2,1,2,19.3,49,6,3,30976,315704,52.0,3152034,JCP
1996,aichi,4,0,"TAKAGI, HIROSHI",,3,0,0,14.6,43,6,4,23411,315704,52.0,6461034,DPJ
1996,aichi,4,0,"ITO, TAKAYOSHI",,22,0,0,0.2,61,6,5,348,315704,52.0,.,kokuminto
1996,aichi,4,0,"SHIOKAWA, CHIKANAO",,100,0,0,0.2,40,6,6,243,315704,52.0,.,others
1996,aichi,5,1,"AKAMATSU, HIROTAKA",,3,2,1,30.9,48,7,1,48648,319846,50.3,11894801,DPJ
1996,aichi,5,0,"KIMURA, TAKAHIDE",,1,1,2,29.5,41,7,2,46485,319846,50.3,5010946,LDP
1996,aichi,5,0,"BANNO, YUTAKA",,8,0,0,27.3,35,7,3,43028,319846,50.3,9817826,NFP
1996,aichi,5,0,"NAGATOMO, TADAHIRO",,2,0,0,11.2,37,7,4,17670,319846,50.3,2728093,JCP
1996,aichi,5,0,"SUZUKI, TSUTOMU",,99,0,0,0.5,63,7,5,768,319846,50.3,70000,independent
1996,aichi,5,0,"ICHIKAWA, MINORU",,22,0,0,0.3,56,7,6,470,319846,50.3,.,kokuminto
1996,aichi,5,0,"UCHIYAMA, TAKAO",,100,0,0,0.2,43,7,7,335,319846,50.3,.,others
1996,aichi,6,1,"KUSAKAWA, SHOZO",,8,8,1,39.7,68,8,1,90812,433930,54.2,11252336,NFP
1996,aichi,6,0,"ITO, KATSUNDO",,1,0,0,26.1,51,8,2,59631,433930,54.2,10987232,LDP
1996,aichi,6,1,"AMIOKA, YU",,3,3,0,21.5,68,8,3,49074,433930,54.2,15156114,DPJ
1996,aichi,6,0,"WATANABE, MASUMI",,2,0,0,11.3,39,8,4,25815,433930,54.2,2227575,JCP
1996,aichi,6,0,"HARADA, ISAMU",,22,0,0,0.5,46,8,5,1107,433930,54.2,.,kokuminto
1996,aichi,6,0,"MUMATSU, YOKO",,100,0,0,0.4,52,8,6,966,433930,54.2,.,others
1996,aichi,6,0,"KASAHARA, KIMIO",,99,0,0,0.3,63,8,7,776,433930,54.2,.,independent
1996,aichi,6,0,"MASUDA, SHINICHI",,100,0,0,0.2,73,8,8,450,433930,54.2,5540,others
1996,aichi,7,1,"AOYAMA, TAKASHI",,8,6,1,47.5,55,7,1,91439,357984,55.5,13493050,NFP
1996,aichi,7,0,"NIWA, TAICHI",,1,0,0,25.9,49,7,2,49727,357984,55.5,14030115,LDP
1996,aichi,7,0,"ITO, KEIKOB",,3,0,0,12.8,40,7,3,24620,357984,55.5,5904264,DPJ
1996,aichi,7,0,"HARADA, HIDETOSHI",,2,0,0,12.0,48,7,4,23009,357984,55.5,2198052,JCP
1996,aichi,7,0,"ICHIKAWA, TSUNEO",,10,0,0,1.1,56,7,5,2045,357984,55.5,8806268,jiyu-rengo
1996,aichi,7,0,"OSHIMA, YOKO",,22,0,0,0.6,65,7,6,1080,357984,55.5,.,kokuminto
1996,aichi,7,0,"EBATA, HIROMICHI",,100,0,0,0.2,34,7,7,442,357984,55.5,.,others
1996,aichi,8,1,"KUNO, TOICHIRO",,1,3,1,44.4,59,5,1,93053,377152,57.1,6368857,LDP
1996,aichi,8,0,"MORITA, YUSUKE",,8,0,0,43.0,33,5,2,90099,377152,57.1,8644586,NFP
1996,aichi,8,0,"KAJIURA, ISAMU",,2,0,0,11.1,48,5,3,23166,377152,57.1,2471701,JCP
1996,aichi,8,0,"YAMAZAKI, KAZUKOA",,100,0,0,1.1,34,5,4,2259,377152,57.1,.,others
1996,aichi,8,0,"SHIMODA, KENICHI",,99,0,0,0.4,42,5,5,873,377152,57.1,.,independent
1996,aichi,9,1,"KAIFU, TOSHIKI",,8,13,1,47.7,65,7,1,111578,393953,60.6,19731389,NFP
1996,aichi,9,0,"YOSHIKAWA, HIROSHIC",,1,0,0,24.8,73,7,2,58059,393953,60.6,4711892,LDP
